"Table1","Table2","JoinByTable1","JoinByTable2"
"mmg_benthicPcrAmplification_ITS","mmg_benthicRawDataFiles","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID","Not fully automatable: Filter the raw data table to only ITS samples, then join on dnaSampleID"
"amc_fieldGenetic","mms_swMetagenomeDnaExtraction","metagenomicSampleID","genomicsSampleID"
"mms_swMetagenomeDnaExtraction","mms_swMetagenomeSequencing","dnaSampleID","dnaSampleID"
"mms_swMetagenomeSequencing","mms_metagenomeDnaExtraction","dnaSampleID","dnaSampleID"
"mms_swRawDataFiles","mms_swMetagenomeDnaExtraction","dnaSampleID","dnaSampleID"
"mms_swRawDataFiles","mms_swMetagenomeSequencing","dnaSampleID","dnaSampleID"
"amc_fieldGenetic","amc_fieldSuperParent","parentSampleID","parentSampleID"
"amc_fieldGenetic","mms_swMetagenomeSequencing","Requires intermediate table: join via mms_swMetagenomeDnaExtraction table",""
"amc_fieldGenetic","mms_swRawDataFiles","Requires intermediate table: join via mms_swMetagenomeDnaExtraction table",""
"amc_fieldSuperParent","mms_swMetagenomeDnaExtraction","Requires intermediate table: join via mms_fieldGenetic table",""
"amc_fieldSuperParent","mms_swMetagenomeSequencing","Requires intermediate table: join via mms_fieldGenetic and mms_swMetagenomeDnaExtraction tables",""
"amc_fieldSuperParent","mms_swRawDataFiles","Requires intermediate table: join via mms_fieldGenetic and mms_swMetagenomeDnaExtraction tables",""
"amc_fieldGenetic","mmg_swDnaExtraction","geneticSampleID","geneticSampleID"
"mmg_swPcrAmplification_16S","mmg_swDnaExtraction","dnaSampleID","dnaSampleID"
"mmg_swPcrAmplification_ITS","mmg_swDnaExtraction","dnaSampleID","dnaSampleID"
"mmg_swMarkerGeneSequencing_16S","mmg_swPcrAmplification_16S","dnaSampleID","dnaSampleID"
"mmg_swMarkerGeneSequencing_16S","mmg_swDnaExtraction","dnaSampleID","dnaSampleID"
"mmg_swMarkerGeneSequencing_ITS","mmg_swPcrAmplification_ITS","dnaSampleID","dnaSampleID"
"mmg_swMarkerGeneSequencing_ITS","mmg_swDnaExtraction","dnaSampleID","dnaSampleID"
"mmg_swRawDataFiles","mmg_swPcrAmplification_ITS","dnaSampleID","dnaSampleID"
"mmg_swRawDataFiles","mmg_swDnaExtraction","dnaSampleID","dnaSampleID"
"amc_fieldGenetic","amc_fieldSuperParent","parentSampleID","parentSampleID"
"amc_fieldGenetic","mmg_swMarkerGeneSequencing_16S","Requires intermediate table: join via mmg_swDnaExtraction table","Requires intermediate table: join via mmg_swDnaExtraction table"
"amc_fieldGenetic","mmg_swMarkerGeneSequencing_ITS","Requires intermediate table: join via mmg_swDnaExtraction table","Requires intermediate table: join via mmg_swDnaExtraction table"
"amc_fieldGenetic","mmg_swPcrAmplification_16S","Requires intermediate table: join via mmg_swDnaExtraction table","Requires intermediate table: join via mmg_swDnaExtraction table"
"amc_fieldGenetic","mmg_swPcrAmplification_ITS","Requires intermediate table: join via mmg_swDnaExtraction table","Requires intermediate table: join via mmg_swDnaExtraction table"
"amc_fieldGenetic","mmg_swRawDataFiles","Requires intermediate table: join via mmg_swDnaExtraction table","Requires intermediate table: join via mmg_swDnaExtraction table"
"amc_fieldSuperParent","mmg_swDnaExtraction","Requires intermediate table: join via amc_fieldGenetic table","Requires intermediate table: join via amc_fieldGenetic table"
"amc_fieldSuperParent","mmg_swMarkerGeneSequencing_16S","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables"
"amc_fieldSuperParent","mmg_swMarkerGeneSequencing_ITS","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables"
"amc_fieldSuperParent","mmg_swPcrAmplification_16S","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables"
"amc_fieldSuperParent","mmg_swPcrAmplification_ITS","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables"
"amc_fieldSuperParent","mmg_swRawDataFiles","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables","Requires intermediate table: join via amc_fieldGenetic and mmg_swDnaExtraction tables"
"mmg_swMarkerGeneSequencing_16S","mmg_swMarkerGeneSequencing_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_swMarkerGeneSequencing_16S","mmg_swPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_swMarkerGeneSequencing_16S","mmg_swRawDataFiles","dnaSampleID","dnaSampleID"
"mmg_swMarkerGeneSequencing_ITS","mmg_swPcrAmplification_16S","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_swMarkerGeneSequencing_ITS","mmg_swRawDataFiles","dnaSampleID","dnaSampleID"
"mmg_swPcrAmplification_16S","mmg_swPcrAmplification_ITS","Join not recommended: different sequencing types","Join not recommended: different sequencing types"
"mmg_swPcrAmplification_16S","mmg_swRawDataFiles","dnaSampleID","dnaSampleID"
"fsp_boutMetadata","fsp_sampleMetadata","eventID","eventID"
"fsp_sampleMetadata","cfc_fieldData","sampleID","sampleID"
"fsp_sampleMetadata","fsp_spectralData","spectralSampleID","spectralSampleID"
"fsp_boutMetadata","fsp_spectralData","Requires intermediate table: Join via fsp_sampleMetadata","Requires intermediate table: Join via fsp_sampleMetadata"
"per_sample","Any other table","Join not recommended: spectralSampleID is the linking variable, but per_sample table contains data records for every wavelength measured. Note that this table will be named per_sample when stacking data using neonUtilities; in downloads from data portal, these data will be presented in individual files named for the sample they describe.","Join not recommended: spectralSampleID is the linking variable, but per_sample table contains data records for every wavelength measured. Note that this table will be named per_sample when stacking data using neonUtilities; in downloads from data portal, these data will be presented in individual files named for the sample they describe."
"csd_continuousDischarge","sdrc_stageDischargeCurveInfo","curveID","curveID"
"csd_continuousDischarge","geo_gaugeWaterColumnRegression","regressionID","regressionID"
"csd_continuousDischarge","bat_gaugeWaterColumnRegression","regressionID","regressionID"
"sdrc_gaugePressureRelationship","geo_gaugeWaterColumnRegression","regressionID","regressionID"
"sdrc_gaugePressureRelationship","bat_gaugeWaterColumnRegression","regressionID","regressionID"
"geo_featureInfo","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_mappedPointErrors","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_missingLine","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_pebbleCount","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_pebbleFieldData","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_rapidHabitatResultsFile","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_resultsFile","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_surveyFieldData","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"geo_totalStation","Any other table","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)","Not fully automatable: Join by siteID and endDate truncated to YYYY-MM (without day or time)"
"bat_fieldData","bat_pointcollection","endDate","endDate"
"bat_fieldData","bat_sonarRecord","endDate","endDate"
"bat_fieldData","bat_resultsFile","endDate","endDate"
"bat_pointcollection","bat_sonarRecord","endDate","endDate"
"bat_pointcollection","bat_resultsFile","endDate","endDate"
"bat_sonarRecord","bat_resultsFile","endDate","endDate"
"sdrc_gaugeDischargeMeas","sdrc_resultsResiduals","gaugeEventID","gaugeEventID"
"sdrc_stageDischargeCurveInfo","sdrc_resultsResiduals","allEventID","gaugeEventID"
"sdrc_stageDischargeCurveInfo","sdrc_gaugeDischargeMeas","allEventID","gaugeEventID"
"sdrc_posteriorParameters","sdrc_stageDischargeCurveInfo","curveID","curveID"
"sdrc_posteriorParameters","sdrc_sampledParameters","curveID","curveID"
"sdrc_posteriorParameters","sdrc_resultsResiduals","curveID","curveID"
"sdrc_stageDischargeCurveInfo","geo_curveIdentification","curveID","curveID"
"geo_curveIdentification","geo_controlInfo","controlSurveyEndDateTime","endDate"
"geo_curveIdentification","geo_controlType","controlSurveyEndDateTime","endDate"
"geo_curveIdentification","geo_priorParameters","controlSurveyEndDateTime","endDate"
"sdrc_stageDischargeCurveInfo","bat_curveIdentification","curveID","curveID"
"bat_curveIdentification","bat_controlInfo","controlSurveyEndDateTime","endDate"
"bat_curveIdentification","bat_controlType","controlSurveyEndDateTime","endDate"
"bat_curveIdentification","bat_priorParameters","controlSurveyEndDateTime","endDate"
"geo_curveIdentification","sdrc_gaugeDischargeMeas","curveID","curveID"
"geo_curveIdentification","sdrc_posteriorParameters","curveID","curveID"
"geo_curveIdentification","sdrc_resultsResiduals","curveID","curveID"
"geo_curveIdentification","sdrc_sampledParameters","curveID","curveID"
"geo_curveIdentification","bat_curveIdentification","Join not recommended. Data are collected at mutually exclusive sites.",""
"bat_curveIdentification","sdrc_gaugeDischargeMeas","curveID","curveID"
"bat_curveIdentification","sdrc_posteriorParameters","curveID","curveID"
"bat_curveIdentification","sdrc_resultsResiduals","curveID","curveID"
"bat_curveIdentification","sdrc_sampledParameters","curveID","curveID"
"sdrc_gaugeDischargeMeas","sdrc_posteriorParameters","curveID","curveID"
"sdrc_gaugeDischargeMeas","sdrc_sampledParameters","curveID","curveID"
"sdrc_resultsResiduals","sdrc_sampledParameters","curveID","curveID"
"sdrc_sampledParameters","sdrc_stageDischargeCurveInfo","curveID","curveID"
"geo_controlInfo","Any other table","Join not recommended. Data can be related by date and site of sampling.",""
"bat_AISsiteSurveyResultsFile","Any other table","Join not recommended. Data can be related by date and site of sampling.",""
"geo_AISsiteSurveyResultsFile","Any other table","Join not recommended. Data can be related by date and site of sampling.",""
"bat_controlInfo","Any other table than those above","Join not recommended. Data can be related by date and site of sampling.",""
"bat_controlType","Any other table than those above","Join not recommended. Data can be related by date and site of sampling.",""
"bat_priorParameters","Any other table than those above","Join not recommended. Data can be related by date and site of sampling.",""
"geo_controlType","Any other table than those above","Join not recommended. Data can be related by date and site of sampling.",""
"geo_priorParameters","Any other table than those above","Join not recommended. Data can be related by date and site of sampling.",""
