Data Product,DPID,Measurement,Collection methodology,Images,Image legend,Maintenance and calibration,"Download contents - file list to be populated dynamically by portal. For this section, review current table descriptions.",Data processing and derivation,Data quality,Standard calculations,Table joining,More information,DP citation,"DPUG review comments - for OS data products, provide input on current DPUG here.","Data accessibility/documentation comments - for all data products, provide feedback on accessibility, clarity, any general data use issues.",
Surface water microbe group abundances,DP1.20278.001,"Semi-quantitative estimates of bacterial, archaeal and fungal abundance from surface water samples. ","Samples are collected, minimally processed, and frozen on dry ice in the field. After intermediate storage in ultra-low temperature freezers, they are shipped to an external laboratory which uses two targeted Quantitative Polymerase Chain Reaction (qPCR) analysis runs to produce the abundance estimates for: 1) bacteria and archaea (using 16S rRNA), 2) fungi (using ITS rRNA).",,,,,Data are generated using established qPCR workflows that give estimates of abundance for each microbial group (bacteria/archaea and fungi). The exact qPCR primer sequences used may change over time as improved primers are developed.,"As much as possible, surface water microbe group abundance data follows the Minimum Information of Quantitative Real-Time PCR Experiments (MIQE) metadata and data quality assurance/quality control (QA/QC) guidelines. Data are automatically passed through initial input constraints and data validation checks when they are ingested into the NEON database. Data generated before 2017 were not processed with the full range of data quality control checks. Details of the real-time PCR workflow used by the external lab to generate these group abundance data can be found in the expanded version of this data package.",,See DP1.20278.001 tables tab,,,,,
Surface water microbe marker gene sequences,DP1.20282.001,This data product provides the results for surface water high-throughput DNA sequencing of bacterial and archaeal 16S ribosomal RNA marker gene and fungal ITS region for taxonomic analysis. Metadata associated with sample processing and QAQC are also reported.,"Samples are collected monthly in wadeable streams and every other month in lakes and large rivers. For lakes, samples are collected at the buoy sensor station and at the inlet/outlet locations, for lakes with true inlets and outlets. Large rivers are sampled at the buoy sensor station, and wadeable streams are sampled at the downstream sensor array. Water is filtered using aseptic methods and filters are frozen in the field on dry ice. Samples are transported and stored frozen.",,NEON aquatic site layouts with microbial sampling locations in red boxes,,,"Sequence data are generated in batches of multiple samples, which are parsed into separate files on a per-sample basis. For bidirectional sequencing runs, 2 sequence files are created per sample, one for each sequencing read direction.","Numerous laboratory QAQC checks are implemented at the DNA extraction, PCR amplification, and sequencing processing stages. Samples that do not meet these QAQC criteria will be noted as ""Fail"" in the qaqcStatus fields in the respective data tables, or may include additional quality flags. Samples must achieve a minimum number of sequences of sufficient quality in order to pass QAQC. These criteria are subject to change over time as technology and standards evolve. ",,"All tables in this data product can be joined by the dnaSampleID. When joining the mmg_swMarkerGeneSequencing_16S and _ITS tables and the mmg_swRawDataFiles tables, use the dnaSampleID x targetGene to distinguish 16S and ITS records. The marker genes tables can be joined among other surface water data streams by linking the geneticSampleID in table mmg_swDnaExtraction to the geneticSampleID in table amc_fieldGenetic of this data product, and from there finding the associated sampleID to link to other analyses. Surface water microbe community composition and surface water microbe group abundance data can be linked with this product using the dnaSampleID x targetGene fields.",,,,,
Surface water microbe metagenome sequences,DP1.20281.001,Shotgun metagenomic DNA sequence data and sample processing metadata for surface water microbes.,Samples are collected annually during the period of peak productivity. Between 1-3 samples are collected based on the habitat type and level of stratification of the water body. Water is filtered using aseptic methods and filters are frozen in the field on dry ice. Samples are transported and stored frozen. Samples are shipped on dry ice to an external facility for analysis.,,"Overview of aquatic microbial field sample types, field processing steps, and analyses.",,,"Sequence data are generated in batches of multiple samples, which are parsed into separate files on a per-sample basis. For bidirectional sequencing runs, 2 sequence files are created per sample, one for each sequencing read direction.","Numerous laboratory QAQC checks are implemented at the DNA extraction and sequence processing stages. Samples that do not meet these QAQC criteria will be noted as ""Fail"" in the qaqcStatus fields in the respective data tables, or may include additional quality flags. Samples must achieve a minimum number of sequences of sufficient quality in order to pass QAQC. These criteria are subject to change over time as technology and standards evolve.",,"All tables in this data product can be joined by the dnaSampleID. The metagenomics tables can be joined among other surface water data streams by linking the geneticSampleID in table mms_swDnaExtraction to the geneticSampleID in table mms_fieldSurfaceMicrobes of this data product, and then finding the associated sampleID to link to other measurements.",,,Typo in 3.6.2 Aquatics Associated Data section about depth profile ,,
Benthic microbe community composition,DP1.20086.001,"Microbial community compsition provides taxonomic data for bacterial, archaeal, and fungal communities","Samples are collected only from wadeable streams during periods of stable stream flow and are collected 3 times a year at the same time and location as algal periphyton. Samples are collected using the most appropriate sampler based on the substratum. After collection, samples are frozen in the field on dry ice, and trasported to ultra-low temperature freezers at the NEON field laboratory.   Samples are then shipped to a laboratory where their DNA is extracted and sequenced.",,,,data is pending ,"Samples are shipped to an analytical laboratory where DNA extraction, sample library preparation and DNA sequencing occurs.  Sequence data are quality-filtered and processed bioinformatically to generate taxon tables. ","Community composition data are derived from marker gene sequences, which must pass basic data quality assurance/quality control (QA/QC) checks, including meeting a minimum sequencing depth (e.g. number of sequences per sample), a maximum number of ambiguous base calls, and a minimum quality threshold. The specifics of the data quality criteria used may change over time as new methods become available and standards change. Within the extended download package, the table mcc_taxonTableLabSummary includes details on methods and code used by the external facility during sample processing. ",,See DP1.20086.001 tables tab,,,"This DPUG needs to be updated to reflect the switch from human readible to barcodes.  Currently the data relationship field says:  The following data relationships are based on merging data using human-readable sample identifiers. As NEON
progresses in implementing barcodes as more robust unique identifiers for samples, these may also be used for
joining records across tables. Each sample identifier described in the data relationships below also has an equivalent
barcode field. The marker gene to taxon table merging (via testMethod) only lists 16S, not ITS",,
Benthic microbe group abundances,DP1.20277.001,"Semi-quantitative estimates of bacterial, archaeal and fungal abundance in benthic samples from lakes, streams, and rivers.  ","Samples are collected, minimally processed, and frozen on dry ice in the field. After intermediate storage in ultra-low temperature freezers, they are shipped to an external laboratory which uses two targeted Quantitative Polymerase Chain Reaction (qPCR) analysis runs to produce the abundance estimates for: 1) bacteria and archaea (using 16S rRNA), 2) fungi (using ITS rRNA).",,"Overview of aquatic microbial field sample types, field processing steps, and analyses.",,Data download looks OK ,Data are generated using established qPCR workflows that give estimates of abundance for each microbial group (bacteria/archaea and fungi). The exact qPCR primer sequences used may change over time as improved primers are developed.,"As much as possible, benthic microbe group abundance data follows the Minimum Information of Quantitative Real-Time PCR Experiments (MIQE) metadata and data quality assurance/quality control (QA/QC) guidelines. Data are automatically passed through initial input constraints and data validation checks when they are ingested into the NEON database. Data generated before 2017 were not processed with the full range of data quality control checks. Details of the real-time PCR workflow used by the external lab to generate these group abundance data can be found in the expanded version of this data package.",,See DP1.20277.001 tables tab,,,,,
Benthic microbe marker gene sequences,DP1.20280.001,This data product provides the results for benthic microbe high-throughput DNA sequencing of bacterial and archaeal 16S ribosomal RNA marker gene and fungal ITS region for taxonomic analysis. Metadata associated with sample processing and QAQC are also reported.,"Samples are collected in wadeable streams at up to 8 locations within a 1 km stream reach in the two dominant benthic habitats. Samples are collected 3 times per year roughly in spring, summer and autumn. Depending on the sample substratum, collection may include filtering water, collecting sediment, or collecting plant material for analysis. For all sample types, collection is performed using aseptic methods and samples are frozen in the field on dry ice. Samples are transported and stored frozen.",,"Overview of aquatic microbial field sample types, field processing steps, and analyses.",,"Reviewed, OK","Sequence data are generated in batches of multiple samples, which are parsed into separate files on a per-sample basis. For bidirectional sequencing runs, 2 sequence files are created per sample, one for each sequencing read direction.","Numerous laboratory QAQC checks are implemented at the DNA extraction, PCR amplification, and sequencing processing stages. Samples that do not meet these QAQC criteria will be notes as ""Fail"" in the qaqcStatus fields in the respective data tables, or may include additional quality flags. Samples must achieve a minimum number of sequences of sufficient quality in order to pass QAQC. These criteria are subject to change over time as technology and standards evolve.",,"All tables in this data product can be joined by the dnaSampleID. When joining the mmg_benthicMarkerGeneSequencing_16S and _ITS tables and the mmg_benthicRawDataFiles tables, use the dnaSampleID x targetGene to distinguish 16S and ITS records. The marker genes tables can be joined among other benthic data streams by linking the geneticSampleID in table mmg_benthicDnaExtraction to the geneticSampleID in table amb_fieldParent of this data product, and then finding the associated sampleID to link to other analyses. Benthic microbe community composition and Benthic microbe group abundance data can be linked with this product using the dnaSampleID x targetGene fields.",,,,,
Benthic microbe metagenome sequences,DP1.20279.001,Shotgun metagenomic DNA sequence data and sample processing metadata for benthic microbes.,"Samples are collected in wadeable streams at up to 8 locations within a 1 km stream reach in the two dominant benthic habitats. Sampling occurs annually during peak greenness in conjuction with periphyton sampling. Samples are collected using aseptic methods to minimize contamination. Depending on the sample substratum, collection may include filtering water, collecting sediment, or collecting plant material for analysis. Samples are frozen in the field on dry ice and transported and stored frozen.",,"Overview of aquatic microbial field sample types, field processing steps, and analyses.",,"Reviewed, OK","Sequence data are generated in batches of multiple samples, which are parsed into separate files on a per-sample basis. For bidirectional sequencing runs, 2 sequence files are created per sample, one for each sequencing read direction.","Numerous laboratory QAQC checks are implemented at the DNA extraction and sequence processing stages. Samples that do not meet these QAQC criteria will be noted as ""Fail"" in the qaqcStatus fields in the respective data tables, or may include additional quality flags. Samples must achieve a minimum number of sequences of sufficient quality in order to pass QAQC. These criteria are subject to change over time as technology and standards evolve.",,"Tables amb_fieldParent, mms_benthicMetagenomeDnaExtraction, mms_benthicMetagenomeSequencing and mms_benthicRawDataFiles can be joined by the dnaSampleID. Tables can be joined among other benthic microbe data by linking the genomicsSampleID field of table amb_benthicDnaExtraction to the geneticSampleID in table amb_fieldParent, and from there using the sampleID to link to other analyses. Benthic microbe community composition, group abundances, and marker gene sequences data can be linked with this product using the dnaSampleID field.",,,,,
H2O concentration - storage,DP1.00100.001,Concentration of H2O in profile; used in calculation of storage terms in eddy covariance calculations of water vapor exchange.,"A suite of sensors, solenoids, and manifods exist within the EC profile assmebly. Using a modified LI-840A sensor measurements will alternate between sampling and fieldvalidation modes.  During sampling the analyzer will measure air samples from different levels on the tower.  During field validation the LI840A will measure known CO2 gas transfer. ",,"The CSAT3 native coordinate system (modified after Campbell Scientific, 2011).",Preventative maintenance includes cleaning the sensor and is typically performed every two weeks. Sensors are calibrated anually.,"Reviewed eddy covariance, looked ok.      Not available as a stand-alone data product, packed in with the eddy covariance (DP4.00200.001)",,"Each measurement is accompanied by a final quality flag (qfFinl) in the ""qfqm"" sub-directory for each data level of the HDF5 bundled file. NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Uncertainty metrics are available at the dp01 level for each level 1 data product in the ""dp01/ucrt"" sub-directory.",,,Bundled data products - eddy covariance,,,,
H2O concentration - turbulent,DP1.00035.001,Concentration of H2O at the top of the tower; used in calculation of turbulent terms in eddy covariance calculations of water vapor exchange.,"A suite of sensors, solenoids, and manifods exist within the EC profile assmebly. Using a modified LI-840A sensor measurements will alternate between sampling and fieldvalidation modes.  During sampling the analyzer will measure air samples from different levels on the tower.  During field validation the LI840A will measure known CO2 gas transfer. ",,"The CSAT3 native coordinate system (modified after Campbell Scientific, 2011).",Preventative maintenance includes cleaning the sensor and is typically performed every two weeks. Sensors are calibrated anually.,"Reviewed eddy covariance, looked ok.      Not available as a stand-alone data product, packed in with the eddy covariance (DP4.00200.001)",,"Each measurement is accompanied by a final quality flag (qfFinl) in the ""qfqm"" sub-directory for each data level of the HDF5 bundled file. NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Uncertainty metrics are available at the dp01 level for each level 1 data product in the ""dp01/ucrt"" sub-directory.",,,Bundled data products - eddy covariance,,,,
H2O concentration rate of change,DP2.00009.001,Time rate of change of H2O concentration (storage component only) over 30 minutes at each measurement level along the vertical tower profile.,"A suite of sensors, solenoids, and manifods exist within the EC profile assmebly. Using a modified LI-840A sensor measurements will alternate between sampling and fieldvalidation modes.  During sampling the analyzer will measure air samples from different levels on the tower.  During field validation the LI840A will measure known CO2 gas transfer. ",,,Preventative maintenance includes cleaning the sensor and is typically performed every two weeks. Sensors are calibrated anually.,"Reviewed eddy covariance, looked ok.      Not available as a stand-alone data product, packed in with the eddy covariance (DP4.00200.001)",,"Each measurement is accompanied by a final quality flag (qfFinl) in the ""qfqm"" sub-directory for each data level of the HDF5 bundled file. NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Uncertainty metrics are available at the dp01 level for each level 1 data product in the ""dp01/ucrt"" sub-directory.",,,Bundled data products - eddy covariance,,,,
H2O concentration rate of change profile,DP3.00010.001,"Time rate of change of H2O concentration (storage component only) over 30 min, spatially interpolated along the vertical tower profile.","A suite of sensors, solenoids, and manifods exist within the EC profile assmebly. Using a modified LI-840A sensor measurements will alternate between sampling and fieldvalidation modes.  During sampling the analyzer will measure air samples from different levels on the tower.  During field validation the LI840A will measure known CO2 gas transfer. ",,,Preventative maintenance includes cleaning the sensor and is typically performed every two weeks. Sensors are calibrated anually.,"Reviewed eddy covariance, looked ok.      Not available as a stand-alone data product, packed in with the eddy covariance (DP4.00200.001)",,"Each measurement is accompanied by a final quality flag (qfFinl) in the ""qfqm"" sub-directory for each data level of the HDF5 bundled file. NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Uncertainty metrics are available at the dp01 level for each level 1 data product in the ""dp01/ucrt"" sub-directory.",,,Bundled data products - eddy covariance,,,,
Triple aspirated air temperature,DP1.00003.001,"Air temperature, available as one- and thirty-minute averages derived from triplicate 1 Hz temperature observations are collected by 3 Platinum Resistance Thermometers (PRTs).
","Six components are used to generate triple aspirated air temperature: a snout heater, a turbine, one aspirated shield fan, and three PRTs. These PRTs can be found at the top of NEON tower infrastructure. PRTs use a known linear relationship between electrical resistances of platinum and ambient temperature to determine temperature.
",,," If needed, the sensor can be cleaned with a soft sponge or soft bristle brush to remove debris. As with all sensors, they are replaced on an anual basis with new or refreshed sensors and calibrated before being installed.",,,"The data products of Instrumented Systems are flagged by a number of quality assurance checks. These can be either for indiviudal measurements or as a summary from averaged measurements. An automated despiking algorithm is used as part of the data quality checks in place for this data product among other quality flags and quality metrics. In cases where sensors failed calibration a ""Suspect Calibration"" flag will be added to the corresponding data. Range tests are used to ensure observations fall within the ideal minimum and maximum values. Any large jumps in the data that might be missed with the Range test are typically captured with a Step test. Similarly, persistence tests are used to ensure the flucuation of recorded values is realistic. If there are missing data points, a null test monitors the amount of missing points over a given period of time.",,,,,,"The link for NEON.DOC.000654vB results with {""error"":{""status"":404,""detail"":""Document not found""},""data"":null}",
Single aspirated air temperature,DP1.00002.001,"Air temperature, available as one- and thirty-minute averages derived from triplicate 1 Hz temperature observations are collected by a single Platinum Resistance Thermometer (PRT).
","These PRTs are similar to those used for triple aspirated air temperature. However, single aspirated air temperature PRTs can be found at each boom arm along NEON tower infrastructure and at NEON aquatic sites with micromet stations. PRTs use a known linear relationship between electrical resistances of platinum and ambient temperature to determine temperature.",,,"If needed, the sensor can be cleaned with a soft sponge or soft bristle brush to remove debris. As with all sensors, they are replaced on an anual basis with new or refreshed sensors and calibrated before being installed. ",,,"The data products of Instrumented Systems are flagged by a number of quality assurance checks. These can be either for indiviudal measurements or as a summary from averaged measurements. An automated despiking algorithm is used as part of the data quality checks in place for this data product among other quality flags and quality metrics. In cases where sensors failed calibration a ""Suspect Calibration"" flag will be added to the corresponding data. Range tests are used to ensure observations fall within the ideal minimum and maximum values. Any large jumps in the data that might be missed with the Range test are typically captured with a Step test. Similarly, persistence tests are used to ensure the flucuation of recorded values is realistic. If there are missing data points, a null test monitors the amount of missing points over a given period of time.",,,,,,,
Relative humidity,DP1.00098.001,"Relative humidity (%), temperature (degrees Celsius), and dew or frost point temperature (degrees Celsius)","Relative humidity and temperature are measured using a humidity and temperature probe installed at the top of the tower infrastructure, aquatic site meteorological stations, and in the soil array. Measurements represent a point at the sensor's location, are made at a frequency of 1 Hz, and data are published as 1-minute and 30-minute averages.",,,"Preventative maintenance and visual inspection is typically performed every two weeks, and calibration is performed annually.",Table descriptions look good.,NA,"Each measurement is accompanied by a final quality flag (RHFinalQF, tempRHFinalQF, dewTempFinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, gap, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (RHExpUncert, tempRHExpUncert, dewTempExpUncert), which comprises known and quantifiable uncertainties.","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the tower or soil plot reference corners are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR indices correspond to the tower, soil plot , or aquatic meteorological station location, and VER indices correspond to vertical location such as at a higher measurement level on the tower. Soil plot sensors will have a HOR index of their plot number and no VER index.",NA,,,NA,Looks good,
IR biological temperature,DP1.00005.001,Biological surface temperature (degrees Celsius) as measured by infrared sensors,"IR biological temperature is measured using infrared radiometers installed at several measurement levels on the tower infrastructure and at the middle soil plot of the soil array. Measurements represent a point on the target surface (relative to the sensor's location, angle, and field-of-view), are made at a frequency of 1 Hz, and data are published as 1-minute and 30-minute average values.",,,"Preventative maintenance and visual inspection is typically performed every two weeks, and calibration is performed annually.",Table descriptions look good.,NA,"Each measurement is accompanied by a final quality flag (finalQF or finalQFSciRvw). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, gap, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (bioTempExpUncert), which comprises known and quantifiable uncertainties.","Sensor height] (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the tower or soil plot reference corner are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR indices correspond to the horizontal location of the tower or soil plot, and VER indices correspond to vertical location such as higher measurement levels on the tower. Soil plot sensors will have a HOR index of their plot number and no VER index.",NA,,,NA,Looks good,
Digital hemispheric photos of plot vegetation,DP1.10017.001,180 degree images and field-collected image metadata used to make ground-based estimations of Leaf Area Index (LAI) and/or Plant Area Index (PAI) at the plot level.,"· Photos are acquired using a full-frame DSLR camera equipped with a fisheye lens to capture the ‘understory’ and/or ‘overstory’ vegetation at each plot. ‘Understory’ vegetation is less than 2 meters tall and can be captured with an upward or downward facing orientation depending on the vegetation height. ‘Overstory’ vegetation is 2 meters or taller and is captured with an upward-facing camera orientation. Photos for upward facing and overstory images must be captured in the crepuscular hours of the day and downward facing images can be captured during daylight hours. Every 3 years, 20 randomly selected Distributed Plots are sampled within one month of NEON AOP remote-sensing flight over the site and both align with the window of peak greenness as defined by a 10 y average of the MODIS-EVI greenness index. Every 2 weeks, DHPs are collected from 3 Tower Plots from leaf-out to senescence to ensure the peak green window is correct. Within each plot, DHPs are collected from photo points that are arranged according to the shape of a square cross, oriented in alignment with the cardinal axes, and with points spaced every 4 meters.",,"NEON Distributed Plot showing the location and spacing of DHP collection points relative to plot center. Spacing and number of points is the same in NEON Tower Plots, regardless of Tower Plot size.",Should I include detials about configuring the Nikon D800/D810? ,No issues ,All NEON DHPs require additonal processing to generate estimates of Leaf Area Index (LAI) or Plant Area Index (PAI). Processing steps may need to include exposure optimization in the 'shadow' or 'dark' region of the histogram and a image format conversion to .JPG for example which can be done using software called Nikon ViewNX 2. To analyze DHPs for LAI and PAI the software Can-Eye can be used. ,Using a mobile data entry application with dropdown options reduces the number of processing steps to prepare the raw data for publication. The document NEON Raw Data Ingest Workbook for TOS Digital Hemispherical Photos (NEON.DP0.10017) describes how product-specific data contraints and validation requirements are built into data entry applications. The dataQF field in each data record is a quality flag that typically describes if the record was created pre-2017 when the paper-based workflow was used instead of the mobile application. , N/A,,,,,,
Litter chemical properties,DP1.10031.001,Litterfall carbon and nitrogen concentrations measured using combustion and elemental analysis. Litterfall lignin concentrations measured using the acid detergent lignin method.,"Litterfall sampling only occurs in areas where vegetation is > 2m tall. In tall stature vegetation sampling takes place in 20 40 x 40m tower plots, while in short stature sampling takes place in 4 40 x 40m tower plots, plus 26 20x 20m plots. Trap placement in plots with > 50% aerial woody vegetation is randomized utilizing the randomized clip list, in plots with < 50% aerial woody vegetation trap placement is targeted so that only clip cells beneath qualifying vegetation are considered. Each elevated PVC trap is 0.5 m^2 with a mesh ""basket"" elevated ~80 cm above the ground inside a cliip cell.",,,"For the C and N data, Primary reference materials are used to calibrate each EA-IRMS run and secondary reference materials are analyzed in order to gauge run acceptability.",,,,"δ = [(Rsample/Rstandard − 1)] × 1000. where R = H/L. For all NEON stable isotopic data, δ15N values are expressed on the atmospheric N2 scale and δ13C. Values are expressed on the Vienna Pee Dee Belemite scale.",,,,,,
Litter stable isotopes,DP1.10101.001,"Litter stable isotopes, C and N isotope values in litterfall biomass. ","Litterfall sampling only occurs in areas where vegetation is > 2m tall. In tall stature vegetation sampling takes place in 20 40 x 40m tower plots, while in short stature sampling takes place in 4 40 x 40m tower plots, plus 26 20x 20m plots. Trap placement in plots with > 50% aerial woody vegetation is randomized utilizing the randomized clip list, in plots with < 50% aerial woody vegetation trap placement is targeted so that only clip cells beneath qualifying vegetation are considered. Each elevated PVC trap is 0.5 m^2 with a mesh ""basket"" elevated ~80 cm above the ground inside a cliip cell.",,x y-coordinates for litter trap placement.  These coordinates differ from those provided in the clipLlists for use with the herbaceous clip protocol.  ,,"downloaded, OK",,Quality control is implemented at th epoint of data entry within a mobile data entry application.  Data formats are constrained and data values are controlled through drop down options.  ,,"Can be joined with Litter Chemical properties using cnSampleID, cnSampleCode",,,,,
Root chemical properties,DP1.10102.001,"Carbon and nitrogen concentrations, and stable isotopes.  ","Depending on the stature of the site vegetation either 20 or 30 plots are sampled from the tower air shed only.  one of two o.5x3m clip cells are randomly chose per plot.  A 30cm deep core is taken from both the north and the south ends of the clip cell.  The core is sieved to remove soil, the root matter is then sorted into 4 class sized, dryed, and weighted.  Live root material is sent to an external laboratory for nitrogen and stable isotope analyses.    ",,NEON plot divided into clip cells with locations of root core sampling,NA,"downloaded, OK","Following data entry into a mobile application or web user interface, the steps used to process the data through
to publication on the NEON Data Portal are detailed in the NEON Algorithm Theoretical Basis Document: OS
Generic Transitions (AD[13]).",Data quality is implemented at the point of data ingest.  Data is controlled through the provision of a list of value options to reduce the necessary steps for raw data publication.  ,,"unique identifier is the cnSampleID,  this identifier can be used to join this data with root stable isotopes, root chemistry.  ",,,,,
Root stable isotopes,DP1.10099.001,"Carbon and nitrogen concentrations, and stable isotopes.  ","Depending on the stature of the site vegetation either 20 or 30 plots are sampled from the tower air shed only.  one of two o.5x3m clip cells are randomly chose per plot.  A 30cm deep core is taken from both the north and the south ends of the clip cell.  The core is sieved to remove soil, the root matter is then sorted into 4 class sized, dryed, and weighted.  Live root material is sent to an external laboratory for nitrogen and stable isotope analyses.    ",,NEON plot divided into clip cells with locations of root core sampling,,"downloaded, OK","Following data entry into a mobile application or web user interface, the steps used to process the data through
to publication on the NEON Data Portal are detailed in the NEON Algorithm Theoretical Basis Document: OS
Generic Transitions (AD[13]).",Data quality is implemented at the point of data ingest.  Data is controlled through the provision of a list of value options to reduce the necessary steps for raw data publication.  ,,"unique identifier is the cnSampleID,  this identifier can be used to join this data with root stable isotopes, root chemistry.  ",,,,,
Soil stable isotopes (Distributed periodic),DP1.10100.001,soil organic carbon and total soil nitrogen and stable isotopes,"A core is taken from three pre-determined, randomly assigned X,Y locations at 10, 40x40 NEON terrestrial base plots: four sites within the tower airshed and six distributed plots. Distributed plots are chosen using the National Land Cover Database.  Sampling is conducted up to 3 times a year at most sites. Soil cores are split by horizon type and collected to a maximum depth of 30 cm. Sterile sampling methods are used when sampling for molecular analyses. Sampling during peak greenness may include a plot-level pooled sample for microbial metaganomics.  Once every 5 years per site, inorganic nitrogen pools and C and N stable isotopes are measured.   ",,Representation of a NEON base plot ,,"downloaded, OK","Following data entry into a mobile application or web user interface, the steps used to process the data through
to publication on the NEON Data Portal are detailed in the NEON Algorithm Theoretical Basis Document: OS
Generic Transitions (AD[1]).",Data quality is implemented at the point of data ingest.  Data is controlled through the provision of a list of value options to reduce the necessary steps for raw data publication.  ,,,,,,,
High-resolution orthorectified camera imagery,DP1.30010.001,"Ground surface cover from high resolution photos that record red, green, and blue visible light from sunlight reflected off of the Earth’s surface. The combination of these bands produces a full color image of the ground.  The images are uncalibrated and are unitless.","NEON AOP instruments, including the medium format digital camera, are flown at 1000 m above ground level at 100 knots in flight lines that have 60% along-track overlap and 37% cross-track overlap. This results in a minimum of eight-centimeter ground pixel resolution. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency. ",,Aerial image projected onto DTM mesh,"To account for camera specific variables and the orientation of the camera on the plane, a boresight calibration flight is performed twice per year: pre and post season. This process involves correlating ground truth points and tie points within images collected during the boresight flight. These data are used to create a complete camera model consisting of camera, distortion, and alignment models used in the orthorectification process. The camera model accounts for the geometry of components within the camera and for the distortion caused by the camera optics. The alignment model is created to determine the relative position of the camera’s sensor in relation to the measurement point for the aircraft’s positioning and orientation system. The post-season calibration flight is used to ensure that the camera alignment has not changed.",N/A,"Raw camera images are first color corrected for white balance and then adjusted for proper exposure, and then orthorectified. Orthorectification is the process of remapping the pixels in an image from the captured projection to a regular geographic projection while removing distortions introduced by land surface topography, imperfections in the camera lens, and tilt of the camera caused by aircraft attitude variations.  The orthorectification process consists of defining a uniform grid on the ground covering the full extent of the image through a series of data-frame transformations. Then each ground pixel is ray-traced back up to the camera image, filling in each orthorectified pixel with the nearest-neighbor image pixel. Ray-tracing is performed using the camera model determined from the boresight calibrations flights and a lidar derived digital terrain model (DTM). The pixel resolution at the ground is set at 10 cm.","Downloaded data include a data quality report for each site.This report includes a description of conditions for each flight (number of images, cloud conditions, anomalies), the processing parameters and a histogram of the tie point errors created from the orthorectified images. This plot is a good measure of the orthorectification error. The NEON data quality requirement for the mean orthorectification error is 0.5 meters or less.",N/A,N/A,,,,,
